date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:52:01	74937/74937	---MCZ	200	added ('OK')	text/html	etag:W/%225fb00eb9-124b9%22	https://electronthemes.com/html/pupko/homepage3.html	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/homepage3.html	(from )
18:52:02	50/50	---MCZ	200	added ('OK')	text/plain	date:Tue,%2016%20Mar%202021%2013:22:04%20GMT	https://electronthemes.com/robots.txt		(from )
18:52:03	2368/2368	---M--	200	added ('OK')	image/png	etag:%225fb00eb9-940%22	https://electronthemes.com/html/pupko/assets/img/favicon.png	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/assets/img/favicon.png	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:04	384598/384598	---MCZ	200	added ('OK')	text/css	etag:W/%225fb00eb9-5de56%22	https://electronthemes.com/html/pupko/assets/css/base-style.css	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/assets/css/base-style.css	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:05	105327/105327	---MCZ	200	added ('OK')	text/html	etag:W/%225fb00eb9-19b6f%22	https://electronthemes.com/html/pupko/homepage.html	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/homepage.html	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:05	424277/424277	---MCZ	200	added ('OK')	text/css	etag:W/%225fb00eb9-67955%22	https://electronthemes.com/html/pupko/assets/css/style.css	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/assets/css/style.css	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:07	3644/3644	---M--	200	added ('OK')	image/png	etag:%225fb00eb9-e3c%22	https://electronthemes.com/html/pupko/assets/img/home1/logo.png	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/assets/img/home1/logo.png	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:07	3579/3579	---M--	200	added ('OK')	image/png	etag:%225fb00eb9-dfb%22	https://electronthemes.com/html/pupko/assets/img/home2/logo.png	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/assets/img/home2/logo.png	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:08	67785/67785	---MCZ	200	added ('OK')	text/html	etag:W/%225fb00eb9-108c9%22	https://electronthemes.com/html/pupko/homepage2.html	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/homepage2.html	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:08	54789/54789	---MCZ	200	added ('OK')	text/html	etag:W/%225fb00eb9-d605%22	https://electronthemes.com/html/pupko/homepage4.html	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/homepage4.html	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:08	62367/62367	---MCZ	200	added ('OK')	text/html	etag:W/%225fb00eb9-f39f%22	https://electronthemes.com/html/pupko/homepage5.html	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/homepage5.html	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:09	76733/76733	---MCZ	200	added ('OK')	text/html	etag:W/%225fb00eb9-12bbd%22	https://electronthemes.com/html/pupko/About-us.html	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/About-us.html	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:09	29393/29393	---MCZ	200	added ('OK')	text/html	etag:W/%225fb00eb9-72d1%22	https://electronthemes.com/html/pupko/portfolioStandard.html	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/portfolioStandard.html	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:10	33537/33537	---MCZ	200	added ('OK')	text/html	etag:W/%225fb00eb9-8301%22	https://electronthemes.com/html/pupko/portfolioMain.html	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/portfolioMain.html	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:10	32234/32234	---MCZ	200	added ('OK')	text/html	etag:W/%225fb00eb9-7dea%22	https://electronthemes.com/html/pupko/protfolio-four-colum.html	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/protfolio-four-colum.html	(from https://electronthemes.com/html/pupko/homepage3.html)
18:52:10	33532/33532	---MCZ	200	added ('OK')	text/html	etag:W/%225fb00eb9-82fc%22	https://electronthemes.com/html/pupko/portfolio-masonry.html	C:/My%20Web%20Sites/xyz8/electronthemes.com/html/pupko/portfolio-masonry.html	(from https://electronthemes.com/html/pupko/homepage3.html)
